dataset,model_name,label_bias_mode,runs,seeds,bias_core_score_mean,bias_core_score_std,primary_dice_mean,primary_dice_std,secondary_dice_mean,secondary_dice_std,sink1_primary_dice_mean,sink1_primary_dice_std,sink2_secondary_dice_mean,sink2_secondary_dice_std,sink_cross_gap_mean,sink_cross_gap_std,sink_disagreement_soft_dice_mean,sink_disagreement_soft_dice_std,sink_disagreement_mae_mean,sink_disagreement_mae_std,sink_disagreement_pearson_mean,sink_disagreement_pearson_std,inter_observer_dice_mean,inter_observer_dice_std,best_val_dice_mean,best_val_dice_std,epochs_ran_mean,epochs_ran_std,parameter_count_mean,parameter_count_std
CHASE,gflow_sa_unetv2_cond,second,1,42,0.7345667645313864,0.0,0.8073268976521368,0.0,0.8139186768216693,0.0,0.8060765980536138,0.0,0.8057483160107609,0.0,-0.00032828204285284546,0.0,0.061390084275397064,0.0,0.022980611538514495,0.0,0.1292103024898097,0.0,0.9456266895677343,0.0,0.851069551590929,0.0,300.0,0.0,356440.0,0.0
CHASE,gflow_sa_unetv2_cond_no_cons,second,1,42,0.7327453412085343,0.0,0.8046275083283358,0.0,0.811772730617498,0.0,0.8026935868204117,0.0,0.8046315296984379,0.0,0.0019379428780261776,0.0,0.06078549500794624,0.0,0.02305532619357109,0.0,0.12892757402732968,0.0,0.9456266895677343,0.0,0.8490704904884769,0.0,290.0,0.0,356440.0,0.0
CHASE,gflow_sa_unetv2_cond_randinit,second,1,42,0.7348817321527567,0.0,0.8073420743047414,0.0,0.8146145352523657,0.0,0.8059570551009108,0.0,0.8060841289354348,0.0,0.00012707383452403853,0.0,0.06105887557612825,0.0,0.022791709983721375,0.0,0.13511663605459034,0.0,0.9456266895677343,0.0,0.8496561345572425,0.0,262.0,0.0,356440.0,0.0
CHASE,gflow_sa_unetv2_cond_random,second,1,42,0.7342993789727983,0.0,0.8061883963861848,0.0,0.8141174106609279,0.0,0.8046457124053792,0.0,0.8056642894068774,0.0,0.001018577001498211,0.0,0.06111899322864123,0.0,0.022360779461450875,0.0,0.13431305810809135,0.0,0.9456266895677343,0.0,0.8527339925375974,0.0,300.0,0.0,354048.0,0.0
CHASE,gflow_sa_unetv2_cond_uniform,second,1,42,0.7331000707870953,0.0,0.8054731585131871,0.0,0.8129002944325597,0.0,0.804274170252192,0.0,0.8031035200535903,0.0,-0.0011706501986017415,0.0,0.06285622091325549,0.0,0.023245197953656316,0.0,0.1391427086200565,0.0,0.9456266895677343,0.0,0.8494916343444182,0.0,300.0,0.0,354048.0,0.0
CHASE,multihead_sa_unetv2,second,1,42,0.7330084134046717,0.0,0.804224169264127,0.0,0.8125058190931902,0.0,0.804224169264127,0.0,0.8068361974708551,0.0,0.002612028206728123,0.0,0.05524475164766896,0.0,0.02049092308152467,0.0,0.12727800873108208,0.0,0.9456266895677343,0.0,0.8477004278531042,0.0,300.0,0.0,259642.0,0.0
CHASE,multihead_unet,second,1,42,0.7330089451711251,0.0,0.8085423912649421,0.0,0.8138870777430067,0.0,0.8085423912649421,0.0,0.8021439959975997,0.0,-0.006398395267342427,0.0,0.05369671345557443,0.0,0.01909772353246808,0.0,0.11024452920537442,0.0,0.9456266895677343,0.0,0.8521972693259978,0.0,300.0,0.0,482466.0,0.0
DRIVE,gflow_sa_unetv2,second,1,42,0.69405403921243,0.0,0.812945212377811,0.0,0.7433620038149,0.0,0.811100090570949,0.0,0.7251655171917404,0.0,-0.08593457337920862,0.0,0.13091379625240168,0.0,0.05288618728518486,0.0,0.234469436109066,0.0,0.8554043410669909,0.0,0.8173479128867331,0.0,300.0,0.0,354068.0,0.0
DRIVE,gflow_sa_unetv2_cond,second,1,42,0.7148198775536702,0.0,0.8171379232132049,0.0,0.7589323871830571,0.0,0.8156104608331992,0.0,0.7666921043381014,0.0,-0.04891835649509779,0.0,0.14901429934868504,0.0,0.045523867942392826,0.0,0.2761032819747925,0.0,0.8695697776630965,0.0,0.8206883383891572,0.0,254.0,0.0,356440.0,0.0
DRIVE,gflow_sa_unetv2_cond_no_cons,second,1,42,0.7008642118909056,0.0,0.818154999838511,0.0,0.7443091571413242,0.0,0.8165578596555892,0.0,0.7429159071226777,0.0,-0.0736419525329115,0.0,0.1294248479501116,0.0,0.050371157750487325,0.0,0.23328327983617783,0.0,0.8554043410669909,0.0,0.8207594734395528,0.0,300.0,0.0,356440.0,0.0
