dataset_name,model_name,input_mode,loss_mode,parameter_count,epochs_ran,best_epoch,best_val_dice,selected_threshold,test_labeled_samples,test_dice,test_iou,test_sensitivity,test_specificity,test_accuracy,metrics_path
chase,sa_unet,green_clahe,bce_dice,536195,231,186,0.8400579452449795,0.45,8,0.7954398228272803,0.6607031740178227,0.8946405698848159,0.9646997433906666,0.9582303520080747,output\chase\sa_unet\metrics.json
chase,sa_unetv2,green_clahe,bce_dice,259625,152,146,0.8446292003481667,0.5,8,0.8005683136952754,0.6677823711218182,0.8824417667145277,0.9679872784143659,0.960057620826551,output\chase\sa_unetv2\metrics.json
drive,sa_unet,green_clahe,bce_dice,536195,163,135,0.8209074071348496,0.6,20,0.8133704711301867,0.685671365426644,0.8194171676547333,0.9721143291042829,0.952402398271122,output\drive\sa_unet\metrics.json
drive,sa_unetv2,green_clahe,bce_dice,259625,194,164,0.8203270330154965,0.45,20,0.8160788611810835,0.6895514700093848,0.8314573683422386,0.9706959135951848,0.952588935007598,output\drive\sa_unetv2\metrics.json
