dataset_name,model_name,input_mode,loss_mode,parameter_count,epochs_ran,best_epoch,best_val_dice,selected_threshold,test_labeled_samples,test_dice,test_iou,test_sensitivity,test_specificity,test_accuracy,metrics_path
chase,gflow_unet,green_clahe,bce_dice,471745,294,228,0.8496228728959907,0.4,8,0.812012724819581,0.6838152759146168,0.8814243718153725,0.9711595450111585,0.9628880233332178,output_gflow/chase/gflow_unet_fixed_b24_green_clahe_bce_dice/metrics.json
chase,gflow_unet,green_clahe,bce_dice,210441,25,1,0.18801858088748588,0.3,8,0.15666581569375063,0.08509527653464424,0.9316177899818952,0.0004138207823891982,0.08543892885998583,output_gflow/chase/gflow_unet_fixed_green_clahe_bce_dice/metrics.json
chase,gflow_unet,green_clahe,bce_dice,210441,134,110,0.8434212908204968,0.4,8,0.7971459531980669,0.6630034788430883,0.8766494809980809,0.9679030653523495,0.95945295387791,output_gflow/chase/gflow_unet_green_clahe_bce_dice/metrics.json
chase,gflow_unet,rgb,bce_dice,210729,140,136,0.8436850282765744,0.6,8,0.7978675528580673,0.6639853702404488,0.8750989370886488,0.9682449019689813,0.959667826488518,output_gflow/chase/gflow_unet_fixed_rgb_bce_dice/metrics.json
chase,gflow_unet,rgb,bce_dice,210729,153,133,0.8439516626351236,0.5,8,0.7994435898465932,0.666164893669934,0.8811500349728791,0.967806742652036,0.9598117565395401,output_gflow/chase/gflow_unet_rgb_bce_dice/metrics.json
drive,gflow_unet,green_clahe,bce_dice,471745,144,120,0.8208402413311524,0.45,20,0.8172235185430547,0.6911969031634382,0.8258082969565651,0.9722936208242793,0.9532753295420656,output_gflow/drive/gflow_unet_b24_green_clahe_bce_dice/metrics.json
drive,gflow_unet,green_clahe,bce_dice,210441,300,263,0.8255302307610142,0.5,20,0.8216957274026809,0.6976074554803461,0.8394886772230776,0.9710470209785654,0.9539244290446595,output_gflow/drive/gflow_unet_green_clahe_bce_dice/metrics.json
drive,gflow_unet,rgb,bce_dice,210729,278,267,0.8175344318641594,0.55,20,0.815745300554742,0.6890468610479699,0.8293478996635205,0.9709892309647301,0.9525904419670266,output_gflow/drive/gflow_unet_rgb_bce_dice/metrics.json
